id,word,reading,meaning,sentence,tags
309,深まる,ふかまる,углубляться,,Unit 03
310,深める,ふかめる,углублять,,Unit 03
311,世話,せわ,"услуга, помощь; забота, хлопоты",家ではペットの世話は私の仕事だ,Unit 04
312,家庭,かてい,"семья, дом, домашний очаг",田中課長は仕事では厳しいが、家庭では優しいお父さんだそうだ,Unit 04
313,協力,きょうりょく,"сотрудничество, взаимодействие",家族で協力して祖母の介護をした,Unit 04
314,感謝,かんしゃ,"благодарность, признательность",アドバイスしてくれた先輩にとても感謝している,Unit 04
315,（お）礼,れい,"поклон; приветствие, вежливость, учтивость; этикет;",お世話になった方にお礼をした,Unit 04
316,（お）詫び,わび,извинение,迷惑をかけた人にお詫びをした,Unit 04
317,お辞儀,おじぎ,поклон,お客様には丁寧にお辞儀をしましょう,Unit 04
318,握手,あくしゅ,рукопожатие,コンサートで歌手と握手した,Unit 04
319,いじわる,いじわる,"злой (упрямый, жестокий) человек;;~をする быть злым (упрямым, жестоким); дразнить [ся] , высмеивать кого-л.",好きな子にはつい意地悪してしまう,Unit 04
320,いたずら,いたずら,"шалость, озорство, забава, развлечение",悪戯をして先生に怒られた,Unit 04
321,節約,せつやく,экономия,生活費の節約,Unit 04
322,経営,けいえい,"управление (предприятием, хозяйством, бизнесом), менеджмент",父はスーパーを経営している,Unit 04
323,反省,はんせい,"самонаблюдение, самоанализ, обдумывание (сделанного, сказанного)",一日の反省を日記に書く,Unit 04
324,実行,じっこう,"исполнение, реализация, осуществление [на практике]",この計画は実行が難しい,Unit 04
325,進歩,しんぽ,прогресс,英語を勉強しているが、進歩がない,Unit 04
326,変化,へんか,"перемена, изменение; трансформация, метаморфоза;",大きな変化,Unit 04
327,発達,はったつ,"развитие, рост, прогресс",体や心が発達する,Unit 04
328,体力,たいりょく,физическая сила,若者の体力が低下している,Unit 04
329,出場,しゅつじょう,"выход (на сцену и т. п. ); выступление, участие",オリンピックへの出場が決まった,Unit 04
330,活躍,かつやく,"[оживлённая] деятельность, активность",田中選手の活躍を期待する,Unit 04
331,競争,きょうそう,"соревнование, состязания; соперничество, конкуренция",どちらがいい成績を取るか、友達と競争した,Unit 04
332,応援,おうえん,"поддержка, помощь",自分の学校のチームを応援する,Unit 04
333,拍手,はくしゅ,"аплодисменты, рукоплескания",ステージの歌手に拍手をする,Unit 04
334,人気,にんき,"популярность, успех ;",彼はクラスで一番人気がある,Unit 04
